game_id,run_1,run_2,run_3,greedy_t0,stochastic_majority_vote,has_stochastic_majority,stochastic_majority_correct,agreement_type,greedy_vote,greedy_in_stochastic_vote_set,greedy_matches_stochastic_majority,greedy_correct
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan,Dylan,True,True,unanimous,Dylan,True,True,True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Kelsey,Kelsey,Kelsey,Pete,Kelsey,True,False,unanimous,Pete,False,False,True
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,Dylan,Dylan,True,False,unanimous,Dylan,True,True,False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,No Werewolf,No Werewolf,No Werewolf,Brett,No Werewolf,True,True,unanimous,Brett,False,False,False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Dustin,Dustin,Dustin,Dustin,Dustin,True,True,unanimous,Dustin,True,True,True
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Pete,Pete,Pete,True,False,unanimous,Pete,True,True,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Katie,Katie,Katie,Dustin,Katie,True,False,unanimous,Dustin,False,False,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,False,two_vs_one,No Werewolf,True,True,False
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Brett,Katie,Katie,Katie,Katie,True,False,two_vs_one,Katie,True,True,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,DeAndre,DeAndre,True,True,unanimous,DeAndre,True,True,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,DeAndre,DeAndre,True,False,unanimous,DeAndre,True,True,False
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Eric,Shane,Eric,Shane,Eric,True,False,two_vs_one,Shane,True,False,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Paul,Paul,Justin,Paul,True,True,two_vs_one,Justin,True,False,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,No Werewolf,Mike,Mike,Mike,Mike,True,True,two_vs_one,Mike,True,True,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,False,unanimous,Mitchell,True,True,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Mike,Mike,Eric,Mike,Mike,True,True,two_vs_one,Mike,True,True,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Eric,Eric,Eric,Eric,Eric,True,False,unanimous,Eric,True,True,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,Mitchell,Mitchell,Mitchell,Mitchell,True,True,unanimous,Mitchell,True,True,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Tyler,Justin,Paul,Justin,True,False,two_vs_one,Paul,False,False,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,James,James,James,Mitchell,James,True,False,unanimous,Mitchell,False,False,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,Paul,No Werewolf,Paul,Paul,True,False,two_vs_one,Paul,True,True,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,James,James,James,James,James,True,False,unanimous,James,True,True,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Paul,Paul,Paul,Paul,Paul,True,False,unanimous,Paul,True,True,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,Justin,Justin,Justin,Justin,Justin,True,False,unanimous,Justin,True,True,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Laura,Laura,Laura,Laura,Laura,True,True,unanimous,Laura,True,True,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,James,James,James,Justin,James,True,False,unanimous,Justin,False,False,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Laura,James,Laura,James,Laura,True,True,two_vs_one,James,True,False,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Laura,Laura,No Werewolf,James,Laura,True,True,two_vs_one,James,False,False,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Laura,Laura,Laura,Laura,Laura,True,True,unanimous,Laura,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Mitchell,Mitchell,Justin,True,True,two_vs_one,Mitchell,True,False,False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,No Werewolf,No Werewolf,No Werewolf,No Werewolf,No Werewolf,True,True,unanimous,No Werewolf,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Paul,Paul,Paul,Paul,Paul,True,True,unanimous,Paul,True,True,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Justin,Justin,Justin,Justin,Justin,True,True,unanimous,Justin,True,True,True
