justification_id,model_under_annotation,is_correct,sentence_id,text,rule_mentioned,n_annotations,is_labelled,categories
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,4B,True,1,"The public discussion is highly focused on the complex mechanics of the night phase, specifically the actions of the Robber, Troublemaker, and Insomniac.",True,0,False,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,4B,True,2,"While the players are debating their roles and the validity of the card swaps, no player has made a definitive statement identifying themselves or accusing another player of being a Werewolf.",True,1,True,Consistency
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#5__Game4__run_3,4B,True,3,"Since the transcript does not provide sufficient evidence to pinpoint a Werewolf, and the players are engaged in role-play and defense of their Village alignments, I cannot confidently choose a target for elimination.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game3__run_3,4B,False,1,Mitchell is the strongest suspect for being a Werewolf.,False,0,False,
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game3__run_3,4B,False,2,He openly admitted to being a werewolf early in the discussion (transcript [8]) and was later identified by Paul as the Troublemaker (transcript [62]).,False,2,True,Social|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game3__run_3,4B,False,3,His continuous attempts to deflect suspicion and his highly erratic behavior throughout the discussion suggest a strong desire to mislead the group.,False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#43##October#13th#2018__Game3__run_3,4B,False,4,"Given the need to eliminate a Werewolf for Team Village to win, Mitchell represents the most immediate and credible threat.",True,1,True,Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game5__run_3,4B,False,1,"Paul makes a highly suspicious and self-incriminating statement in the transcript, claiming that he and another player are both Werewolves (Transcript [74]).",False,1,True,Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game5__run_3,4B,False,2,"While he previously claimed to be the Troublemaker, this late-game declaration is a classic tactic used by Werewolves to divert suspicion and secure votes.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game5__run_3,4B,False,3,"Although Mitchell is also highly deceptive regarding role swaps, Paul's direct admission of being a Werewolf makes him the most likely target for Team Village to ensure their victory.",False,3,True,Behavioral|Payoff|Testimony
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#44##October#13th#2018__Game5__run_3,4B,False,4,Eliminating Paul is the best move to fulfill the win condition.,True,1,True,Payoff
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game3__run_3,4B,False,1,"The discussion quickly devolved into a highly chaotic argument regarding who was the Tanner and who was the Werewolf, with both Mike and Mitchell making contradictory claims.",False,1,True,Consistency
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game3__run_3,4B,False,2,"However, in the final moments of the transcript, Mitchell and Caitlynn actively push for Alana's elimination, suggesting she is the primary suspect in the eyes of the perceived Village faction.",False,1,True,Social
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#7##November#6th#2016__Game3__run_3,4B,False,3,"Given the urgency of the vote and the strong consensus building around Alana as the target, she represents the most logical choice to eliminate a potential Werewolf based on the public discourse.",False,1,True,Social
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game3__greedy_t0,4B,False,1,Justin is the most suspicious player due to his highly convoluted and contradictory narrative regarding role swaps and accusations.,False,1,True,Consistency
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game3__greedy_t0,4B,False,2,"He repeatedly makes strong claims about who robbed whom and who belongs to which team, often shifting his target (e.g., accusing Paul, then defending himself).",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game3__greedy_t0,4B,False,3,"This level of aggressive deception and constant self-referencing is characteristic of a player attempting to mislead the group, which aligns with the behavior of a Werewolf.",False,1,True,Behavioral
4B__Youtube__ONE#NIGHT#ULTIMATE#WEREWOLF#86##November#9th#2019__Game3__greedy_t0,4B,False,4,"While Mitchell is also evasive, Justin's active attempts to control the narrative and implicate others makes him the primary threat to Team Village's victory.",True,3,True,Behavioral|Payoff
