marker,provisional_category,possible_categories,n_possible_categories,category_scores,dominance_share,exact_tie,assignment_method,possible_senses,is_discontinuous,components,n_components,component_variants_json,assigned_category,manually_overridden,matching_mode,use_for_contiguous_matching,use_for_discontinuous_matching,included_in_matching,use_for_matching
at the time,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Synchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
before,Temporal,Temporal,1,Temporal: 326,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
before and after,Temporal,Temporal,1,Temporal: 1,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
by then,Temporal,Temporal,1,Temporal: 7,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
earlier,Temporal,Temporal | Comparison,2,Temporal: 14 | Comparison: 1,0.9333333333333333,False,highest summed DiMLex frequency,Comparison.Contrast.Juxtaposition | Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
eventually,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
everytime,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Synchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
in turn,Temporal,Temporal | Expansion | Contingency,3,Temporal: 19 | Expansion: 8 | Contingency: 3,0.6333333333333333,False,highest summed DiMLex frequency,Contingency.Cause.Result | Expansion.Conjunction | Expansion.Restatement.Specification | Temporal.Asynchronous | Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
later,Temporal,Temporal | Expansion,2,Temporal: 90 | Expansion: 1,0.989010989010989,False,highest summed DiMLex frequency,Expansion.Conjunction | Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
meantime,Temporal,Temporal | Expansion,2,Temporal: 13 | Expansion: 2,0.8666666666666667,False,highest summed DiMLex frequency,Expansion.Conjunction | Temporal.Asynchronous | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
meanwhile,Temporal,Temporal | Expansion | Comparison,3,Temporal: 94 | Expansion: 70 | Comparison: 29,0.48704663212435234,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation | Comparison.Contrast | Comparison.Contrast.Juxtaposition | Comparison.Contrast.Opposition | Expansion.Conjunction | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
next,Temporal,Temporal | Expansion,2,Temporal: 6 | Expansion: 1,0.8571428571428571,False,highest summed DiMLex frequency,Expansion.Conjunction | Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
once,Temporal,Temporal | Contingency,2,Temporal: 80 | Contingency: 4,0.9523809523809523,False,highest summed DiMLex frequency,Contingency.Condition.General | Contingency.Condition.Hypothetical | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
previously,Temporal,Temporal | Comparison,2,Temporal: 47 | Comparison: 2,0.9591836734693877,False,highest summed DiMLex frequency,Comparison.Contrast.Juxtaposition | Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
simultaneously,Temporal,Temporal,1,Temporal: 6,1.0,False,highest summed DiMLex frequency,Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
then,Temporal,Temporal | Expansion | Contingency | Comparison,4,Temporal: 317 | Expansion: 14 | Contingency: 6 | Comparison: 3,0.9323529411764706,False,highest summed DiMLex frequency,Comparison | Comparison.Concession.Contra-expectation | Comparison.Contrast | Contingency.Cause.Reason | Contingency.Cause.Result | Contingency.Condition.Unreal present | Expansion.Alternative | Expansion.Conjunction | Expansion.List | Temporal.Asynchronous.Precedence | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
thereafter,Temporal,Temporal,1,Temporal: 11,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
till,Temporal,Temporal,1,Temporal: 3,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
ultimately,Temporal,Temporal | Expansion,2,Temporal: 14 | Expansion: 4,0.7777777777777778,False,highest summed DiMLex frequency,Expansion | Expansion.Conjunction | Expansion.Restatement | Temporal.Asynchronous.Precedence,False,,1,[],Temporal,False,contiguous,True,False,True,True
until,Temporal,Temporal | Contingency | Expansion,3,Temporal: 141 | Contingency: 18 | Expansion: 3,0.8703703703703703,False,highest summed DiMLex frequency,Contingency.Condition.General | Contingency.Condition.Hypothetical | Expansion.Alternative.Disjunctive | Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
upon,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Synchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
when,Temporal,Temporal | Contingency | Comparison | Expansion,4,Temporal: 793 | Contingency: 182 | Comparison: 12 | Expansion: 2,0.8018200202224469,False,highest summed DiMLex frequency,Comparison.Concession.Contra-expectation | Comparison.Concession.Expectation | Comparison.Contrast | Comparison.Contrast.Opposition | Contingency | Contingency.Cause.Reason | Contingency.Condition.Factual present | Contingency.Condition.General | Contingency.Condition.Hypothetical | Contingency.Pragmatic condition.Implicit assertion | Contingency.Pragmatic condition.Relevance | Expansion.Alternative.Disjunctive | Temporal | Temporal.Asynchronous.Precedence | Temporal.Asynchronous.Succession | Temporal.Synchrony,False,,1,[],Temporal,False,contiguous,True,False,True,True
when and if,Temporal,Temporal,1,Temporal: 1,1.0,False,highest summed DiMLex frequency,Temporal.Asynchronous.Succession,False,,1,[],Temporal,False,contiguous,True,False,True,True
whenever,Temporal,Temporal,1,Temporal: 1,1.0,False,largest number of DiMLex sense entries,Temporal.Synchronous,False,,1,[],Temporal,False,contiguous,True,False,True,True
