model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications,support,joint_prevalence,prevalence_category,prevalence_relation,lift,low_support_diagnostic
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Temporal,191,33,0.17277486910994763,0.5759162303664922,0.27225130890052357,1.1019230769230768,False
Gemma 4 4B,Stochastic,run_2,SocialJudgment,Any explicit,191,105,0.5497382198952879,0.5759162303664922,0.9685863874345549,0.9855036855036854,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Comparison,191,87,0.45549738219895286,0.5602094240837696,0.7905759162303665,1.0284706319242434,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Contingency,191,30,0.15706806282722513,0.5602094240837696,0.3612565445026178,0.7761072734660708,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Expansion,191,45,0.2356020942408377,0.5602094240837696,0.4607329842931937,0.9128079864061173,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Temporal,191,34,0.17801047120418848,0.5602094240837696,0.27225130890052357,1.1671459381739755,False
Gemma 4 4B,Stochastic,run_2,Behavioral,Any explicit,191,103,0.5392670157068062,0.5602094240837696,0.9685863874345549,0.9938368274816873,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Comparison,191,19,0.09947643979057591,0.16230366492146597,0.7905759162303665,0.7752616962187566,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Contingency,191,5,0.02617801047120419,0.16230366492146597,0.3612565445026178,0.44647031323048153,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Expansion,191,18,0.09424083769633508,0.16230366492146597,0.4607329842931937,1.2602639296187683,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Temporal,191,18,0.09424083769633508,0.16230366492146597,0.27225130890052357,2.132754342431762,False
Gemma 4 4B,Stochastic,run_2,ClaimComparison,Any explicit,191,29,0.1518324607329843,0.16230366492146597,0.9685863874345549,0.9658238884045336,False
Gemma 4 4B,Stochastic,run_2,Payoff,Comparison,191,102,0.5340314136125655,0.7120418848167539,0.7905759162303665,0.9486754966887418,False
Gemma 4 4B,Stochastic,run_2,Payoff,Contingency,191,50,0.2617801047120419,0.7120418848167539,0.3612565445026178,1.01768968456948,False
Gemma 4 4B,Stochastic,run_2,Payoff,Expansion,191,69,0.3612565445026178,0.7120418848167539,0.4607329842931937,1.1011864973262033,False
Gemma 4 4B,Stochastic,run_2,Payoff,Temporal,191,34,0.17801047120418848,0.7120418848167539,0.27225130890052357,0.9182692307692307,False
Gemma 4 4B,Stochastic,run_2,Payoff,Any explicit,191,132,0.6910994764397905,0.7120418848167539,0.9685863874345549,1.002066772655008,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Comparison,191,74,0.387434554973822,0.4607329842931937,0.7905759162303665,1.0636664659843469,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Contingency,191,31,0.16230366492146597,0.4607329842931937,0.3612565445026178,0.9751317523056654,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Expansion,191,36,0.18848167539267016,0.4607329842931937,0.4607329842931937,0.8879132231404959,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Temporal,191,17,0.08900523560209424,0.4607329842931937,0.27225130890052357,0.7095716783216783,False
Gemma 4 4B,Stochastic,run_2,Uncertainty,Any explicit,191,84,0.4397905759162304,0.4607329842931937,0.9685863874345549,0.9855036855036856,False
Gemma 4 4B,Stochastic,run_3,Mechanical,Comparison,191,10,0.05235602094240838,0.06282722513089005,0.8010471204188482,1.0403050108932461,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Contingency,191,4,0.020942408376963352,0.06282722513089005,0.29842931937172773,1.1169590643274854,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Expansion,191,5,0.02617801047120419,0.06282722513089005,0.4712041884816754,0.8842592592592593,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Temporal,191,3,0.015706806282722512,0.06282722513089005,0.23036649214659685,1.0852272727272727,True
Gemma 4 4B,Stochastic,run_3,Mechanical,Any explicit,191,12,0.06282722513089005,0.06282722513089005,0.9476439790575916,1.0552486187845305,True
Gemma 4 4B,Stochastic,run_3,Testimony,Comparison,191,114,0.5968586387434555,0.7382198952879581,0.8010471204188482,1.0093172020581282,False
Gemma 4 4B,Stochastic,run_3,Testimony,Contingency,191,40,0.2094240837696335,0.7382198952879581,0.29842931937172773,0.9506034590021154,False
Gemma 4 4B,Stochastic,run_3,Testimony,Expansion,191,67,0.3507853403141361,0.7382198952879581,0.4712041884816754,1.0084318360914106,False
Gemma 4 4B,Stochastic,run_3,Testimony,Temporal,191,38,0.19895287958115182,0.7382198952879581,0.23036649214659685,1.1698903932946485,False
Gemma 4 4B,Stochastic,run_3,Testimony,Any explicit,191,137,0.7172774869109948,0.7382198952879581,0.9476439790575916,1.0253124877551822,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Comparison,191,79,0.41361256544502617,0.5445026178010471,0.8010471204188482,0.948278029160382,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Contingency,191,20,0.10471204188481675,0.5445026178010471,0.29842931937172773,0.6443994601889339,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Expansion,191,54,0.28272251308900526,0.5445026178010471,0.4712041884816754,1.1019230769230768,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Temporal,191,23,0.12041884816753927,0.5445026178010471,0.23036649214659685,0.9600087412587412,False
Gemma 4 4B,Stochastic,run_3,SocialJudgment,Any explicit,191,97,0.5078534031413613,0.5445026178010471,0.9476439790575916,0.9842222694432641,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Comparison,191,84,0.4397905759162304,0.5654450261780105,0.8010471204188482,0.9709513435003632,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Contingency,191,26,0.13612565445026178,0.5654450261780105,0.29842931937172773,0.8066926575698505,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Expansion,191,48,0.2513089005235602,0.5654450261780105,0.4712041884816754,0.9432098765432099,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Temporal,191,31,0.16230366492146597,0.5654450261780105,0.23036649214659685,1.2460016835016836,False
Gemma 4 4B,Stochastic,run_3,Behavioral,Any explicit,191,101,0.5287958115183246,0.5654450261780105,0.9476439790575916,0.9868528749744218,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Comparison,191,28,0.14659685863874344,0.19895287958115182,0.8010471204188482,0.9198486412108703,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Contingency,191,12,0.06282722513089005,0.19895287958115182,0.29842931937172773,1.0581717451523547,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Expansion,191,17,0.08900523560209424,0.19895287958115182,0.4712041884816754,0.9494152046783626,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Temporal,191,22,0.11518324607329843,0.19895287958115182,0.23036649214659685,2.5131578947368425,False
Gemma 4 4B,Stochastic,run_3,ClaimComparison,Any explicit,191,38,0.19895287958115182,0.19895287958115182,0.9476439790575916,1.0552486187845305,False
Gemma 4 4B,Stochastic,run_3,Payoff,Comparison,191,113,0.5916230366492147,0.7120418848167539,0.8010471204188482,1.037245290272972,False
Gemma 4 4B,Stochastic,run_3,Payoff,Contingency,191,45,0.2356020942408377,0.7120418848167539,0.29842931937172773,1.1087461300309598,False
Gemma 4 4B,Stochastic,run_3,Payoff,Expansion,191,69,0.3612565445026178,0.7120418848167539,0.4712041884816754,1.0767156862745098,False
Gemma 4 4B,Stochastic,run_3,Payoff,Temporal,191,30,0.15706806282722513,0.7120418848167539,0.23036649214659685,0.957553475935829,False
Gemma 4 4B,Stochastic,run_3,Payoff,Any explicit,191,130,0.680628272251309,0.7120418848167539,0.9476439790575916,1.0086935326616835,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Comparison,191,73,0.38219895287958117,0.418848167539267,0.8010471204188482,1.1391339869281045,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Contingency,191,24,0.1256544502617801,0.418848167539267,0.29842931937172773,1.0052631578947369,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Expansion,191,35,0.18324607329842932,0.418848167539267,0.4712041884816754,0.9284722222222223,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Temporal,191,10,0.05235602094240838,0.418848167539267,0.23036649214659685,0.5426136363636364,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Any explicit,191,76,0.39790575916230364,0.418848167539267,0.9476439790575916,1.002486187845304,False
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Comparison,191,9,0.04712041884816754,0.07329842931937172,0.7382198952879581,0.8708206686930093,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Contingency,191,9,0.04712041884816754,0.07329842931937172,0.3769633507853403,1.705357142857143,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Expansion,191,5,0.02617801047120419,0.07329842931937172,0.49214659685863876,0.7256838905775076,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Temporal,191,3,0.015706806282722512,0.07329842931937172,0.28272251308900526,0.7579365079365079,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Any explicit,191,14,0.07329842931937172,0.07329842931937172,0.9842931937172775,1.0159574468085106,True
Gemma 4 4B,Greedy,greedy_t0,Testimony,Comparison,191,100,0.5235602094240838,0.7172774869109948,0.7382198952879581,0.9887663715897913,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Contingency,191,53,0.2774869109947644,0.7172774869109948,0.3769633507853403,1.0262570965125708,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Expansion,191,63,0.3298429319371728,0.7172774869109948,0.49214659685863876,0.9343842211523528,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Temporal,191,47,0.24607329842931938,0.7172774869109948,0.28272251308900526,1.213436063801027,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Any explicit,191,135,0.7068062827225131,0.7172774869109948,0.9842931937172775,1.0011259512346637,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Comparison,191,78,0.4083769633507853,0.5392670157068062,0.7382198952879581,1.0258211113406321,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Contingency,191,26,0.13612565445026178,0.5392670157068062,0.3769633507853403,0.6696332254584683,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Expansion,191,60,0.31413612565445026,0.5392670157068062,0.49214659685863876,1.1836397438545756,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Temporal,191,27,0.14136125654450263,0.5392670157068062,0.28272251308900526,0.9271844660194176,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Any explicit,191,102,0.5340314136125655,0.5392670157068062,0.9842931937172775,1.0060937822763893,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Comparison,191,71,0.3717277486910995,0.5026178010471204,0.7382198952879581,1.001846926713948,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Contingency,191,21,0.1099476439790576,0.5026178010471204,0.3769633507853403,0.580295138888889,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Expansion,191,47,0.24607329842931938,0.5026178010471204,0.49214659685863876,0.9947916666666666,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Temporal,191,35,0.18324607329842932,0.5026178010471204,0.28272251308900526,1.2895447530864197,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Any explicit,191,93,0.4869109947643979,0.5026178010471204,0.9842931937172775,0.9842087765957447,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Comparison,191,21,0.1099476439790576,0.19895287958115182,0.7382198952879581,0.7486002239641659,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Contingency,191,6,0.031413612565445025,0.19895287958115182,0.3769633507853403,0.418859649122807,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Expansion,191,15,0.07853403141361257,0.19895287958115182,0.49214659685863876,0.8020716685330348,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Temporal,191,25,0.13089005235602094,0.19895287958115182,0.28272251308900526,2.326998050682261,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Any explicit,191,36,0.18848167539267016,0.19895287958115182,0.9842931937172775,0.9624860022396418,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Comparison,191,102,0.5340314136125655,0.7172774869109948,0.7382198952879581,1.0085416990215872,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Contingency,191,52,0.27225130890052357,0.7172774869109948,0.3769633507853403,1.0068937550689374,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Expansion,191,72,0.3769633507853403,0.7172774869109948,0.49214659685863876,1.0678676813169745,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Temporal,191,37,0.193717277486911,0.7172774869109948,0.28272251308900526,0.9552581778859149,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Any explicit,191,135,0.7068062827225131,0.7172774869109948,0.9842931937172775,1.0011259512346637,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Comparison,191,64,0.33507853403141363,0.4031413612565445,0.7382198952879581,1.1259095514414665,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Contingency,191,33,0.17277486910994763,0.4031413612565445,0.3769633507853403,1.1369047619047619,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Expansion,191,37,0.193717277486911,0.4031413612565445,0.49214659685863876,0.9763746891406466,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Temporal,191,15,0.07853403141361257,0.4031413612565445,0.28272251308900526,0.6890331890331891,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Any explicit,191,77,0.4031413612565445,0.4031413612565445,0.9842931937172775,1.0159574468085106,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Comparison,191,36,0.18848167539267016,0.5287958115183246,0.4712041884816754,0.7564356435643566,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Contingency,191,76,0.39790575916230364,0.5287958115183246,0.6020942408376964,1.2497632371932845,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Expansion,191,56,0.2931937172774869,0.5287958115183246,0.5392670157068062,1.028164952417572,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Temporal,191,40,0.2094240837696335,0.5287958115183246,0.450261780104712,0.879576329725996,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Any explicit,191,97,0.5078534031413613,0.5287958115183246,0.9581151832460733,1.0023805659254452,False
Gemma 4 31B,Stochastic,run_1,Testimony,Comparison,191,89,0.46596858638743455,0.9685863874345549,0.4712041884816754,1.020960960960961,False
Gemma 4 31B,Stochastic,run_1,Testimony,Contingency,191,110,0.5759162303664922,0.9685863874345549,0.6020942408376964,0.9875440658049355,False
Gemma 4 31B,Stochastic,run_1,Testimony,Expansion,191,99,0.518324607329843,0.9685863874345549,0.5392670157068062,0.9923379690369983,False
Gemma 4 31B,Stochastic,run_1,Testimony,Temporal,191,84,0.4397905759162304,0.9685863874345549,0.450261780104712,1.0084223758642363,False
Gemma 4 31B,Stochastic,run_1,Testimony,Any explicit,191,177,0.9267015706806283,0.9685863874345549,0.9581151832460733,0.9985821887461233,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Comparison,191,28,0.14659685863874344,0.2670157068062827,0.4712041884816754,1.1651416122004357,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Contingency,191,20,0.10471204188481675,0.2670157068062827,0.6020942408376964,0.6513213981244672,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Expansion,191,27,0.14136125654450263,0.2670157068062827,0.5392670157068062,0.9817247287264421,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Temporal,191,17,0.08900523560209424,0.2670157068062827,0.450261780104712,0.7403100775193798,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Any explicit,191,46,0.24083769633507854,0.2670157068062827,0.9581151832460733,0.9413907639558557,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Comparison,191,66,0.34554973821989526,0.6178010471204188,0.4712041884816754,1.187005649717514,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Contingency,191,67,0.3507853403141361,0.6178010471204188,0.6020942408376964,0.943036109064112,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Expansion,191,65,0.3403141361256545,0.6178010471204188,0.5392670157068062,1.0214744117163075,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Temporal,191,63,0.3298429319371728,0.6178010471204188,0.450261780104712,1.185750886874261,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Any explicit,191,116,0.6073298429319371,0.6178010471204188,0.9581151832460733,1.0260257478929333,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Comparison,191,57,0.29842931937172773,0.5916230366492147,0.4712041884816754,1.0705014749262536,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Contingency,191,64,0.33507853403141363,0.5916230366492147,0.6020942408376964,0.9406694882647172,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Expansion,191,62,0.32460732984293195,0.5916230366492147,0.5392670157068062,1.0174413609416617,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Temporal,191,64,0.33507853403141363,0.5916230366492147,0.450261780104712,1.2578719901214244,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Any explicit,191,109,0.5706806282722513,0.5916230366492147,0.9581151832460733,1.006770153295614,False
Gemma 4 31B,Stochastic,run_1,Payoff,Comparison,191,29,0.1518324607329843,0.3089005235602094,0.4712041884816754,1.0431261770244822,False
Gemma 4 31B,Stochastic,run_1,Payoff,Contingency,191,50,0.2617801047120419,0.3089005235602094,0.6020942408376964,1.4075165806927046,False
Gemma 4 31B,Stochastic,run_1,Payoff,Expansion,191,33,0.17277486910994763,0.3089005235602094,0.5392670157068062,1.037189402665789,False
Gemma 4 31B,Stochastic,run_1,Payoff,Temporal,191,25,0.13089005235602094,0.3089005235602094,0.450261780104712,0.9410721324398896,False
Gemma 4 31B,Stochastic,run_1,Payoff,Any explicit,191,58,0.3036649214659686,0.3089005235602094,0.9581151832460733,1.0260257478929333,False
Gemma 4 31B,Stochastic,run_1,Uncertainty,Comparison,191,15,0.07853403141361257,0.11518324607329843,0.4712041884816754,1.446969696969697,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Contingency,191,12,0.06282722513089005,0.11518324607329843,0.6020942408376964,0.9059288537549406,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Expansion,191,12,0.06282722513089005,0.11518324607329843,0.5392670157068062,1.0114739629302736,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Temporal,191,7,0.03664921465968586,0.11518324607329843,0.450261780104712,0.7066596194503171,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Any explicit,191,20,0.10471204188481675,0.11518324607329843,0.9581151832460733,0.9488325881768506,True
Gemma 4 31B,Stochastic,run_2,Mechanical,Comparison,191,34,0.17801047120418848,0.5287958115183246,0.45549738219895286,0.7390463184249461,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Contingency,191,73,0.38219895287958117,0.5287958115183246,0.5602094240837696,1.2901822892569634,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Expansion,191,56,0.2931937172774869,0.5287958115183246,0.5287958115183246,1.0485246544456428,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Temporal,191,37,0.193717277486911,0.5287958115183246,0.387434554973822,0.9455445544554457,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Any explicit,191,98,0.5130890052356021,0.5287958115183246,0.9581151832460733,1.0127143861927177,False
Gemma 4 31B,Stochastic,run_2,Testimony,Comparison,191,87,0.45549738219895286,0.9947643979057592,0.45549738219895286,1.0052631578947369,False
Gemma 4 31B,Stochastic,run_2,Testimony,Contingency,191,106,0.5549738219895288,0.9947643979057592,0.5602094240837696,0.9958681751106738,False
Gemma 4 31B,Stochastic,run_2,Testimony,Expansion,191,101,0.5287958115183246,0.9947643979057592,0.5287958115183246,1.0052631578947366,False
Gemma 4 31B,Stochastic,run_2,Testimony,Temporal,191,74,0.387434554973822,0.9947643979057592,0.387434554973822,1.0052631578947369,False
Gemma 4 31B,Stochastic,run_2,Testimony,Any explicit,191,182,0.9528795811518325,0.9947643979057592,0.9581151832460733,0.9997699165947657,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Comparison,191,32,0.16753926701570682,0.33507853403141363,0.45549738219895286,1.0977011494252875,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Contingency,191,29,0.1518324607329843,0.33507853403141363,0.5602094240837696,0.8088492990654205,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Expansion,191,32,0.16753926701570682,0.33507853403141363,0.5287958115183246,0.9455445544554457,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Temporal,191,23,0.12041884816753927,0.33507853403141363,0.387434554973822,0.9275760135135134,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Any explicit,191,62,0.32460732984293195,0.33507853403141363,0.9581151832460733,1.0110997267759563,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Comparison,191,57,0.29842931937172773,0.6230366492146597,0.45549738219895286,1.0515792523906113,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Contingency,191,64,0.33507853403141363,0.6230366492146597,0.5602094240837696,0.9600251315479462,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Expansion,191,66,0.34554973821989526,0.6230366492146597,0.5287958115183246,1.048839337715284,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Temporal,191,54,0.28272251308900526,0.6230366492146597,0.387434554973822,1.17124687712923,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Any explicit,191,113,0.5916230366492147,0.6230366492146597,0.9581151832460733,0.991091518574643,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Comparison,191,48,0.2513089005235602,0.5392670157068062,0.45549738219895286,1.0231001004352194,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Contingency,191,58,0.3036649214659686,0.5392670157068062,0.5602094240837696,1.005171944469649,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Expansion,191,54,0.28272251308900526,0.5392670157068062,0.5287958115183246,0.991444775545516,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Temporal,191,54,0.28272251308900526,0.5392670157068062,0.387434554973822,1.3531881395959067,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Any explicit,191,103,0.5392670157068062,0.5392670157068062,0.9581151832460733,1.0437158469945356,False
Gemma 4 31B,Stochastic,run_2,Payoff,Comparison,191,26,0.13612565445026178,0.23036649214659685,0.45549738219895286,1.2972831765935215,False
Gemma 4 31B,Stochastic,run_2,Payoff,Contingency,191,29,0.1518324607329843,0.23036649214659685,0.5602094240837696,1.1765080713678844,False
Gemma 4 31B,Stochastic,run_2,Payoff,Expansion,191,25,0.13089005235602094,0.23036649214659685,0.5287958115183246,1.0744824482448245,False
Gemma 4 31B,Stochastic,run_2,Payoff,Temporal,191,16,0.08376963350785341,0.23036649214659685,0.387434554973822,0.9385749385749387,False
Gemma 4 31B,Stochastic,run_2,Payoff,Any explicit,191,44,0.23036649214659685,0.23036649214659685,0.9581151832460733,1.0437158469945356,False
Gemma 4 31B,Stochastic,run_2,Uncertainty,Comparison,191,15,0.07853403141361257,0.1256544502617801,0.45549738219895286,1.3721264367816093,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Contingency,191,10,0.05235602094240838,0.1256544502617801,0.5602094240837696,0.7437694704049845,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Expansion,191,15,0.07853403141361257,0.1256544502617801,0.5287958115183246,1.1819306930693072,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Temporal,191,5,0.02617801047120419,0.1256544502617801,0.387434554973822,0.5377252252252253,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Any explicit,191,23,0.12041884816753927,0.1256544502617801,0.9581151832460733,1.0002276867030966,True
Gemma 4 31B,Stochastic,run_3,Mechanical,Comparison,191,34,0.17801047120418848,0.5287958115183246,0.41361256544502617,0.813886451936333,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Contingency,191,72,0.3769633507853403,0.5287958115183246,0.5863874345549738,1.215700141442716,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Expansion,191,58,0.3036649214659686,0.5287958115183246,0.5549738219895288,1.0347468709135066,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Temporal,191,40,0.2094240837696335,0.5287958115183246,0.4083769633507853,0.9697892866209699,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Any explicit,191,96,0.5026178010471204,0.5287958115183246,0.9581151832460733,0.9920467456581724,False
Gemma 4 31B,Stochastic,run_3,Testimony,Comparison,191,78,0.4083769633507853,0.9842931937172775,0.41361256544502617,1.0030972259628332,False
Gemma 4 31B,Stochastic,run_3,Testimony,Contingency,191,110,0.5759162303664922,0.9842931937172775,0.5863874345549738,0.997815349544073,False
Gemma 4 31B,Stochastic,run_3,Testimony,Expansion,191,104,0.5445026178010471,0.9842931937172775,0.5549738219895288,0.9967884383781613,False
Gemma 4 31B,Stochastic,run_3,Testimony,Temporal,191,77,0.4031413612565445,0.9842931937172775,0.4083769633507853,1.0029323513366066,False
Gemma 4 31B,Stochastic,run_3,Testimony,Any explicit,191,181,0.9476439790575916,0.9842931937172775,0.9581151832460733,1.0048540867341007,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Comparison,191,28,0.14659685863874344,0.2931937172774869,0.41361256544502617,1.2088607594936709,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Contingency,191,25,0.13089005235602094,0.2931937172774869,0.5863874345549738,0.7613201530612246,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Expansion,191,30,0.15706806282722513,0.2931937172774869,0.5549738219895288,0.9652964959568733,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Temporal,191,21,0.1099476439790576,0.2931937172774869,0.4083769633507853,0.918269230769231,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Any explicit,191,54,0.28272251308900526,0.2931937172774869,0.9581151832460733,1.0064402810304451,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Comparison,191,54,0.28272251308900526,0.6073298429319371,0.41361256544502617,1.1254910519423833,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Contingency,191,70,0.36649214659685864,0.6073298429319371,0.5863874345549738,1.029094827586207,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Expansion,191,65,0.3403141361256545,0.6073298429319371,0.5549738219895288,1.0096779440468446,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Temporal,191,50,0.2617801047120419,0.6073298429319371,0.4083769633507853,1.0554818744473917,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Any explicit,191,113,0.5916230366492147,0.6073298429319371,0.9581151832460733,1.0167231957791598,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Comparison,191,49,0.25654450261780104,0.5863874345549738,0.41361256544502617,1.057753164556962,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Contingency,191,58,0.3036649214659686,0.5863874345549738,0.5863874345549738,0.8831313775510206,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Expansion,191,65,0.3403141361256545,0.5863874345549738,0.5549738219895288,1.045737870619946,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Temporal,191,59,0.3089005235602094,0.5863874345549738,0.4083769633507853,1.289949633699634,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Any explicit,191,108,0.5654450261780105,0.5863874345549738,0.9581151832460733,1.0064402810304451,False
Gemma 4 31B,Stochastic,run_3,Payoff,Comparison,191,19,0.09947643979057591,0.2879581151832461,0.41361256544502617,0.8352128883774452,False
Gemma 4 31B,Stochastic,run_3,Payoff,Contingency,191,43,0.225130890052356,0.2879581151832461,0.5863874345549738,1.3332792207792208,False
