model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_category,total_words,total_relations,relations_per_100_words,mean_per_justification_density,low_support_diagnostic
Gemma 4 4B,Stochastic,run_3,Payoff,Expansion,136,11134,83,0.7454643434524879,0.7417827796392475,False
Gemma 4 4B,Stochastic,run_3,Payoff,Temporal,136,11134,35,0.3143524339859889,0.31616481587493217,False
Gemma 4 4B,Stochastic,run_3,Payoff,Any explicit,136,11134,318,2.856116400215556,2.867742383463457,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Comparison,80,6665,93,1.3953488372093024,1.4191327376118927,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Contingency,80,6665,31,0.46511627906976744,0.4709450049590155,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Expansion,80,6665,44,0.660165041260315,0.6517073217072851,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Temporal,80,6665,11,0.16504126031507876,0.16025849876728104,False
Gemma 4 4B,Stochastic,run_3,Uncertainty,Any explicit,80,6665,179,2.6856714178544636,2.702043563045474,False
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Comparison,14,1098,11,1.0018214936247722,0.9418674811902444,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Contingency,14,1098,10,0.9107468123861566,0.9654842831882112,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Expansion,14,1098,6,0.546448087431694,0.5615127044645997,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Temporal,14,1098,4,0.36429872495446264,0.3982226693494299,True
Gemma 4 4B,Greedy,greedy_t0,Mechanical,Any explicit,14,1098,31,2.8233151183970855,2.8670871381924847,True
Gemma 4 4B,Greedy,greedy_t0,Testimony,Comparison,137,11030,123,1.115140525838622,1.103522452982136,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Contingency,137,11030,73,0.6618313689936537,0.6851221566422454,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Expansion,137,11030,75,0.6799637352674524,0.6878987402894884,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Temporal,137,11030,64,0.5802357207615594,0.5800244268229583,False
Gemma 4 4B,Greedy,greedy_t0,Testimony,Any explicit,137,11030,335,3.0371713508612874,3.056567776736828,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Comparison,103,8423,100,1.1872254541137361,1.178571960582236,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Contingency,103,8423,31,0.3680398907752582,0.3681253029862213,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Expansion,103,8423,75,0.8904190905853021,0.9002255092454343,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Temporal,103,8423,35,0.41552890893980765,0.41958686152550345,False
Gemma 4 4B,Greedy,greedy_t0,SocialJudgment,Any explicit,103,8423,241,2.861213344414104,2.8665096343393954,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Comparison,96,8054,89,1.1050409734293518,1.1036315691158434,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Contingency,96,8054,23,0.285572386391855,0.28262253408020976,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Expansion,96,8054,55,0.6828904891979141,0.6843459018677525,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Temporal,96,8054,44,0.5463123913583313,0.547920480322518,False
Gemma 4 4B,Greedy,greedy_t0,Behavioral,Any explicit,96,8054,211,2.6198162403774523,2.6185204853863238,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Comparison,38,3067,24,0.7825236387349201,0.7757964195738362,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Contingency,38,3067,6,0.19563090968373004,0.1981155158667587,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Expansion,38,3067,18,0.58689272905119,0.5878899515942797,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Temporal,38,3067,37,1.2063906097163353,1.1958694835106964,False
Gemma 4 4B,Greedy,greedy_t0,ClaimComparison,Any explicit,38,3067,85,2.7714378871861753,2.7576713705455713,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Comparison,137,11107,129,1.16142972899973,1.150710331064761,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Contingency,137,11107,77,0.6932565049068156,0.7182175328617805,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Expansion,137,11107,86,0.77428648599982,0.7806301193089633,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Temporal,137,11107,49,0.44116323039524624,0.44511060862860036,False
Gemma 4 4B,Greedy,greedy_t0,Payoff,Any explicit,137,11107,341,3.0701359503016117,3.094668591864105,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Comparison,77,6383,87,1.362995456681811,1.3624164614189094,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Contingency,77,6383,47,0.7363308788970704,0.7460281296778305,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Expansion,77,6383,41,0.6423311922293592,0.6494289028727936,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Temporal,77,6383,17,0.2663324455585148,0.2623054429670149,False
Gemma 4 4B,Greedy,greedy_t0,Uncertainty,Any explicit,77,6383,192,3.0079899733667554,3.020178936936548,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Comparison,101,7770,44,0.5662805662805663,0.5430550757057385,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Contingency,101,7770,113,1.4543114543114544,1.4577666304834938,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Expansion,101,7770,81,1.0424710424710424,1.0244573906932586,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Temporal,101,7770,53,0.6821106821106822,0.6271547995358413,False
Gemma 4 31B,Stochastic,run_1,Mechanical,Any explicit,101,7770,291,3.7451737451737452,3.6524338964183327,False
Gemma 4 31B,Stochastic,run_1,Testimony,Comparison,185,13981,104,0.743866676203419,0.7334043335546059,False
Gemma 4 31B,Stochastic,run_1,Testimony,Contingency,185,13981,150,1.0728846291395466,1.0617662926541542,False
Gemma 4 31B,Stochastic,run_1,Testimony,Expansion,185,13981,143,1.022816679779701,1.0192020190860658,False
Gemma 4 31B,Stochastic,run_1,Testimony,Temporal,185,13981,121,0.8654602675059009,0.842190566398664,False
Gemma 4 31B,Stochastic,run_1,Testimony,Any explicit,185,13981,518,3.7050282526285674,3.6565632116934896,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Comparison,51,3760,34,0.9042553191489362,0.8851405258288595,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Contingency,51,3760,26,0.6914893617021277,0.65690688276557,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Expansion,51,3760,45,1.196808510638298,1.2249583488851044,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Temporal,51,3760,30,0.7978723404255319,0.7593181639488454,False
Gemma 4 31B,Stochastic,run_1,SocialJudgment,Any explicit,51,3760,135,3.5904255319148937,3.5263239214283786,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Comparison,118,9303,79,0.8491884338385467,0.8478717755768471,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Contingency,118,9303,88,0.945931419972052,0.9203859974580124,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Expansion,118,9303,93,0.999677523379555,0.9957221609039305,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Temporal,118,9303,95,1.0211759647425562,1.0110498977107185,False
Gemma 4 31B,Stochastic,run_1,Behavioral,Any explicit,118,9303,355,3.8159733419327098,3.775029831649508,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Comparison,113,8821,67,0.7595510713071081,0.7535375308073262,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Contingency,113,8821,84,0.9522729849223444,0.9245745782000196,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Expansion,113,8821,87,0.9862827343838567,0.9877719323889282,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Temporal,113,8821,95,1.0769753996145561,1.0793905200824458,False
Gemma 4 31B,Stochastic,run_1,ClaimComparison,Any explicit,113,8821,333,3.7750821902278653,3.74527456147872,False
Gemma 4 31B,Stochastic,run_1,Payoff,Comparison,59,4648,37,0.7960413080895009,0.7716322141564802,False
Gemma 4 31B,Stochastic,run_1,Payoff,Contingency,59,4648,76,1.6351118760757315,1.6550113018568389,False
Gemma 4 31B,Stochastic,run_1,Payoff,Expansion,59,4648,49,1.0542168674698795,1.0195243508638854,False
Gemma 4 31B,Stochastic,run_1,Payoff,Temporal,59,4648,32,0.6884681583476764,0.6780060678013556,False
Gemma 4 31B,Stochastic,run_1,Payoff,Any explicit,59,4648,194,4.173838209982788,4.12417393467856,False
Gemma 4 31B,Stochastic,run_1,Uncertainty,Comparison,22,1780,16,0.898876404494382,0.8999451830468682,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Contingency,22,1780,18,1.0112359550561798,0.9551289142313002,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Expansion,22,1780,18,1.0112359550561798,0.9535634361204642,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Temporal,22,1780,10,0.5617977528089888,0.5384065241202509,True
Gemma 4 31B,Stochastic,run_1,Uncertainty,Any explicit,22,1780,62,3.4831460674157304,3.347044057518883,True
Gemma 4 31B,Stochastic,run_2,Mechanical,Comparison,101,7759,36,0.46397731666451864,0.4818297177029509,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Contingency,101,7759,103,1.3274906560123727,1.3254459774981862,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Expansion,101,7759,77,0.9923959273102204,0.9583195470483986,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Temporal,101,7759,46,0.5928599046268849,0.5937575313609263,False
Gemma 4 31B,Stochastic,run_2,Mechanical,Any explicit,101,7759,262,3.3767238046139965,3.359352773610462,False
Gemma 4 31B,Stochastic,run_2,Testimony,Comparison,190,14286,102,0.7139857202855943,0.7234430873406665,False
Gemma 4 31B,Stochastic,run_2,Testimony,Contingency,190,14286,143,1.000979980400392,0.9699893545236756,False
Gemma 4 31B,Stochastic,run_2,Testimony,Expansion,190,14286,144,1.0079798404031919,0.9923074942032697,False
Gemma 4 31B,Stochastic,run_2,Testimony,Temporal,190,14286,99,0.6929861402771944,0.6882925993552613,False
Gemma 4 31B,Stochastic,run_2,Testimony,Any explicit,190,14286,488,3.4159316813663727,3.3740325354228737,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Comparison,64,4701,37,0.7870665815783876,0.7891651508210158,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Contingency,64,4701,33,0.7019783024888322,0.669993422252083,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Expansion,64,4701,46,0.9785152095298872,1.0019173804150938,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Temporal,64,4701,29,0.6168900233992768,0.60303929432509,False
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Any explicit,64,4701,145,3.0844501169963836,3.064115247813283,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Comparison,119,9294,69,0.7424144609425436,0.7615005795459568,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Contingency,119,9294,85,0.9145685388422639,0.8842147910303293,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Expansion,119,9294,94,1.0114052076608564,0.9751584757182106,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Temporal,119,9294,78,0.8392511297611362,0.8515580147428765,False
Gemma 4 31B,Stochastic,run_2,Behavioral,Any explicit,119,9294,326,3.5076393372068,3.4724318610373723,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Comparison,103,7881,59,0.7486359599035656,0.7509816073037731,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Contingency,103,7881,76,0.9643446263164573,0.9466206014159234,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Expansion,103,7881,77,0.9770333713995686,0.9649086596475451,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Temporal,103,7881,76,0.9643446263164573,0.9732487688357558,False
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Any explicit,103,7881,288,3.6543585839360486,3.635759637202997,False
Gemma 4 31B,Stochastic,run_2,Payoff,Comparison,44,3443,36,1.0455997676444961,1.0501853733464896,False
Gemma 4 31B,Stochastic,run_2,Payoff,Contingency,44,3443,42,1.2198663955852453,1.2120895783235341,False
Gemma 4 31B,Stochastic,run_2,Payoff,Expansion,44,3443,38,1.103688643624746,1.0845305299026575,False
Gemma 4 31B,Stochastic,run_2,Payoff,Temporal,44,3443,21,0.6099331977926227,0.6194660939913316,False
Gemma 4 31B,Stochastic,run_2,Payoff,Any explicit,44,3443,137,3.97908800464711,3.9662715755640123,False
Gemma 4 31B,Stochastic,run_2,Uncertainty,Comparison,24,1826,18,0.9857612267250822,1.0104862789990736,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Contingency,24,1826,12,0.6571741511500547,0.5566448535515639,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Expansion,24,1826,22,1.2048192771084338,1.2012010826125752,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Temporal,24,1826,6,0.32858707557502737,0.33474862821500323,True
Gemma 4 31B,Stochastic,run_2,Uncertainty,Any explicit,24,1826,58,3.176341730558598,3.1030808433782155,True
Gemma 4 31B,Stochastic,run_3,Mechanical,Comparison,101,7799,37,0.47441979740992435,0.464186445221698,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Contingency,101,7799,106,1.3591486087959994,1.3364373233765754,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Expansion,101,7799,78,1.0001282215668676,0.9705870318582711,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Temporal,101,7799,52,0.666752147711245,0.6398335794553722,False
Gemma 4 31B,Stochastic,run_3,Mechanical,Any explicit,101,7799,273,3.5004487754840365,3.4110443799119174,False
Gemma 4 31B,Stochastic,run_3,Testimony,Comparison,188,14304,90,0.6291946308724832,0.6349367909399659,False
Gemma 4 31B,Stochastic,run_3,Testimony,Contingency,188,14304,156,1.0906040268456376,1.06975841136902,False
Gemma 4 31B,Stochastic,run_3,Testimony,Expansion,188,14304,148,1.034675615212528,1.0089564757700937,False
Gemma 4 31B,Stochastic,run_3,Testimony,Temporal,188,14304,106,0.7410514541387024,0.7394855229772812,False
Gemma 4 31B,Stochastic,run_3,Testimony,Any explicit,188,14304,500,3.495525727069351,3.45313720105636,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Comparison,56,4131,33,0.7988380537400145,0.8154939026629638,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Contingency,56,4131,29,0.7020091987412249,0.6897850976331331,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Expansion,56,4131,45,1.0893246187363834,1.0734904535228242,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Temporal,56,4131,28,0.6778019849915274,0.6557958654063846,False
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Any explicit,56,4131,135,3.2679738562091503,3.234565319225306,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Comparison,116,9240,62,0.670995670995671,0.6837273445558867,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Contingency,116,9240,101,1.093073593073593,1.0435968442025614,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Expansion,116,9240,90,0.974025974025974,0.9511363253362417,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Temporal,116,9240,74,0.8008658008658008,0.8241185444985211,False
Gemma 4 31B,Stochastic,run_3,Behavioral,Any explicit,116,9240,327,3.538961038961039,3.502579058593211,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Comparison,112,8773,58,0.6611193434401003,0.682168788040993,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Contingency,112,8773,83,0.9460845776815229,0.9027613773305708,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Expansion,112,8773,97,1.1056651088567195,1.057579831052637,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Temporal,112,8773,84,0.9574831870511797,0.9745484828587829,False
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Any explicit,112,8773,322,3.670352217029522,3.617058479282984,False
Gemma 4 31B,Stochastic,run_3,Payoff,Comparison,55,4245,22,0.5182567726737338,0.5012767109431461,False
Gemma 4 31B,Stochastic,run_3,Payoff,Contingency,55,4245,70,1.6489988221436984,1.6746537697872121,False
Gemma 4 31B,Stochastic,run_3,Payoff,Expansion,55,4245,48,1.1307420494699647,1.1385979772960277,False
Gemma 4 31B,Stochastic,run_3,Payoff,Temporal,55,4245,25,0.5889281507656066,0.5980695686839627,False
Gemma 4 31B,Stochastic,run_3,Payoff,Any explicit,55,4245,165,3.8869257950530036,3.912598026710349,False
Gemma 4 31B,Stochastic,run_3,Uncertainty,Comparison,16,1248,10,0.8012820512820513,0.8217241383613698,True
Gemma 4 31B,Stochastic,run_3,Uncertainty,Contingency,16,1248,7,0.5608974358974359,0.5198789761033262,True
Gemma 4 31B,Stochastic,run_3,Uncertainty,Expansion,16,1248,13,1.0416666666666667,1.0404968178546188,True
Gemma 4 31B,Stochastic,run_3,Uncertainty,Temporal,16,1248,5,0.40064102564102566,0.4052349886395714,True
Gemma 4 31B,Stochastic,run_3,Uncertainty,Any explicit,16,1248,35,2.8044871794871793,2.7873349209588865,True
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Comparison,103,7923,50,0.6310740880979427,0.5952278299555358,False
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Contingency,103,7923,100,1.2621481761958855,1.2458199041674223,False
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Expansion,103,7923,97,1.2242837309100087,1.2017577254969192,False
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Temporal,103,7923,54,0.6815600151457781,0.6565149753166494,False
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Any explicit,103,7923,301,3.799066010349615,3.6993204349365265,False
Gemma 4 31B,Greedy,greedy_t0,Testimony,Comparison,189,14215,95,0.6683081252198382,0.6519996436419434,False
Gemma 4 31B,Greedy,greedy_t0,Testimony,Contingency,189,14215,143,1.0059795990151248,0.9878881254409222,False
Gemma 4 31B,Greedy,greedy_t0,Testimony,Expansion,189,14215,167,1.1748153359127682,1.161920763976838,False
Gemma 4 31B,Greedy,greedy_t0,Testimony,Temporal,189,14215,114,0.8019697502638058,0.7922522293395441,False
Gemma 4 31B,Greedy,greedy_t0,Testimony,Any explicit,189,14215,519,3.651072810411537,3.5940607623992484,False
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Comparison,58,4294,41,0.9548206800186306,0.928741090194728,False
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Contingency,58,4294,24,0.5589194224499301,0.5437079327718808,False
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Expansion,58,4294,47,1.0945505356311132,1.106823889620182,False
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Temporal,58,4294,36,0.8383791336748952,0.8302336246742551,False
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Any explicit,58,4294,148,3.446669771774569,3.4095065372610462,False
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Comparison,117,9196,67,0.7285776424532405,0.7138724988415249,False
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Contingency,117,9196,85,0.9243149195302305,0.8871782655803702,False
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Expansion,117,9196,104,1.1309264897781643,1.1011719990365985,False
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Temporal,117,9196,84,0.9134406263592867,0.9115996386709084,False
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Any explicit,117,9196,340,3.697259678120922,3.6138224021294016,False
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Comparison,114,8783,63,0.717294773995218,0.7064955518309042,False
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Contingency,114,8783,78,0.8880792439940794,0.8717471871186401,False
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Expansion,114,8783,109,1.2410338153250597,1.246157564507529,False
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Temporal,114,8783,80,0.9108505066605943,0.9298010105810742,False
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Any explicit,114,8783,330,3.7572583399749515,3.754201314038148,False
Gemma 4 31B,Greedy,greedy_t0,Payoff,Comparison,56,4340,26,0.5990783410138248,0.5743097670190747,False
Gemma 4 31B,Greedy,greedy_t0,Payoff,Contingency,56,4340,64,1.4746543778801844,1.4750287956798622,False
Gemma 4 31B,Greedy,greedy_t0,Payoff,Expansion,56,4340,59,1.359447004608295,1.3402262648928356,False
Gemma 4 31B,Greedy,greedy_t0,Payoff,Temporal,56,4340,24,0.5529953917050692,0.551652246114119,False
Gemma 4 31B,Greedy,greedy_t0,Payoff,Any explicit,56,4340,173,3.986175115207373,3.9412170737058916,False
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Comparison,15,1192,12,1.0067114093959733,1.0294170626241608,True
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Contingency,15,1192,8,0.6711409395973155,0.6698024859132662,True
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Expansion,15,1192,12,1.0067114093959733,1.0003185649072752,True
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Temporal,15,1192,10,0.8389261744966443,0.8903135650567897,True
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Any explicit,15,1192,42,3.523489932885906,3.5898516785014913,True
