model,decoding_group,run_label,semantic_category,discourse_relation,n_justifications_with_both,n_with_same_sentence,localization_rate
Gemma 4 31B,Stochastic,run_2,Mechanical,Temporal,37,14,0.3783783783783784
Gemma 4 31B,Stochastic,run_2,Mechanical,Any explicit,98,77,0.7857142857142857
Gemma 4 31B,Stochastic,run_2,Testimony,Comparison,87,62,0.7126436781609196
Gemma 4 31B,Stochastic,run_2,Testimony,Contingency,106,57,0.5377358490566038
Gemma 4 31B,Stochastic,run_2,Testimony,Expansion,101,80,0.7920792079207921
Gemma 4 31B,Stochastic,run_2,Testimony,Temporal,74,65,0.8783783783783784
Gemma 4 31B,Stochastic,run_2,Testimony,Any explicit,182,154,0.8461538461538461
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Comparison,32,17,0.53125
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Contingency,29,6,0.20689655172413793
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Expansion,32,19,0.59375
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Temporal,23,12,0.5217391304347826
Gemma 4 31B,Stochastic,run_2,SocialJudgment,Any explicit,62,39,0.6290322580645161
Gemma 4 31B,Stochastic,run_2,Behavioral,Comparison,57,35,0.6140350877192983
Gemma 4 31B,Stochastic,run_2,Behavioral,Contingency,64,27,0.421875
Gemma 4 31B,Stochastic,run_2,Behavioral,Expansion,66,34,0.5151515151515151
Gemma 4 31B,Stochastic,run_2,Behavioral,Temporal,54,18,0.3333333333333333
Gemma 4 31B,Stochastic,run_2,Behavioral,Any explicit,113,77,0.6814159292035398
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Comparison,48,29,0.6041666666666666
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Contingency,58,18,0.3103448275862069
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Expansion,54,31,0.5740740740740741
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Temporal,54,48,0.8888888888888888
Gemma 4 31B,Stochastic,run_2,ClaimComparison,Any explicit,103,83,0.8058252427184466
Gemma 4 31B,Stochastic,run_2,Payoff,Comparison,26,10,0.38461538461538464
Gemma 4 31B,Stochastic,run_2,Payoff,Contingency,29,22,0.7586206896551724
Gemma 4 31B,Stochastic,run_2,Payoff,Expansion,25,15,0.6
Gemma 4 31B,Stochastic,run_2,Payoff,Temporal,16,1,0.0625
Gemma 4 31B,Stochastic,run_2,Payoff,Any explicit,44,33,0.75
Gemma 4 31B,Stochastic,run_2,Uncertainty,Comparison,15,10,0.6666666666666666
Gemma 4 31B,Stochastic,run_2,Uncertainty,Contingency,10,5,0.5
Gemma 4 31B,Stochastic,run_2,Uncertainty,Expansion,15,9,0.6
Gemma 4 31B,Stochastic,run_2,Uncertainty,Temporal,5,2,0.4
Gemma 4 31B,Stochastic,run_2,Uncertainty,Any explicit,23,16,0.6956521739130435
Gemma 4 31B,Stochastic,run_3,Mechanical,Comparison,34,12,0.35294117647058826
Gemma 4 31B,Stochastic,run_3,Mechanical,Contingency,72,55,0.7638888888888888
Gemma 4 31B,Stochastic,run_3,Mechanical,Expansion,58,35,0.603448275862069
Gemma 4 31B,Stochastic,run_3,Mechanical,Temporal,40,17,0.425
Gemma 4 31B,Stochastic,run_3,Mechanical,Any explicit,96,79,0.8229166666666666
Gemma 4 31B,Stochastic,run_3,Testimony,Comparison,78,54,0.6923076923076923
Gemma 4 31B,Stochastic,run_3,Testimony,Contingency,110,45,0.4090909090909091
Gemma 4 31B,Stochastic,run_3,Testimony,Expansion,104,78,0.75
Gemma 4 31B,Stochastic,run_3,Testimony,Temporal,77,64,0.8311688311688312
Gemma 4 31B,Stochastic,run_3,Testimony,Any explicit,181,140,0.7734806629834254
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Comparison,28,17,0.6071428571428571
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Contingency,25,8,0.32
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Expansion,30,18,0.6
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Temporal,21,7,0.3333333333333333
Gemma 4 31B,Stochastic,run_3,SocialJudgment,Any explicit,54,38,0.7037037037037037
Gemma 4 31B,Stochastic,run_3,Behavioral,Comparison,54,37,0.6851851851851852
Gemma 4 31B,Stochastic,run_3,Behavioral,Contingency,70,23,0.32857142857142857
Gemma 4 31B,Stochastic,run_3,Behavioral,Expansion,65,27,0.4153846153846154
Gemma 4 31B,Stochastic,run_3,Behavioral,Temporal,50,27,0.54
Gemma 4 31B,Stochastic,run_3,Behavioral,Any explicit,113,72,0.6371681415929203
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Comparison,49,29,0.5918367346938775
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Contingency,58,28,0.4827586206896552
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Expansion,65,35,0.5384615384615384
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Temporal,59,47,0.7966101694915254
Gemma 4 31B,Stochastic,run_3,ClaimComparison,Any explicit,108,90,0.8333333333333334
Gemma 4 31B,Stochastic,run_3,Payoff,Comparison,19,11,0.5789473684210527
Gemma 4 31B,Stochastic,run_3,Payoff,Contingency,43,32,0.7441860465116279
Gemma 4 31B,Stochastic,run_3,Payoff,Expansion,35,20,0.5714285714285714
Gemma 4 31B,Stochastic,run_3,Payoff,Temporal,18,3,0.16666666666666666
Gemma 4 31B,Stochastic,run_3,Payoff,Any explicit,53,44,0.8301886792452831
Gemma 4 31B,Stochastic,run_3,Uncertainty,Comparison,10,7,0.7
Gemma 4 31B,Stochastic,run_3,Uncertainty,Contingency,5,1,0.2
Gemma 4 31B,Stochastic,run_3,Uncertainty,Expansion,10,4,0.4
Gemma 4 31B,Stochastic,run_3,Uncertainty,Temporal,4,1,0.25
Gemma 4 31B,Stochastic,run_3,Uncertainty,Any explicit,15,10,0.6666666666666666
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Comparison,44,20,0.45454545454545453
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Contingency,67,57,0.8507462686567164
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Expansion,68,34,0.5
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Temporal,41,15,0.36585365853658536
Gemma 4 31B,Greedy,greedy_t0,Mechanical,Any explicit,96,81,0.84375
Gemma 4 31B,Greedy,greedy_t0,Testimony,Comparison,83,62,0.7469879518072289
Gemma 4 31B,Greedy,greedy_t0,Testimony,Contingency,100,42,0.42
Gemma 4 31B,Greedy,greedy_t0,Testimony,Expansion,119,85,0.7142857142857143
Gemma 4 31B,Greedy,greedy_t0,Testimony,Temporal,81,72,0.8888888888888888
Gemma 4 31B,Greedy,greedy_t0,Testimony,Any explicit,180,153,0.85
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Comparison,34,17,0.5
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Contingency,20,6,0.3
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Expansion,36,22,0.6111111111111112
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Temporal,23,12,0.5217391304347826
Gemma 4 31B,Greedy,greedy_t0,SocialJudgment,Any explicit,56,38,0.6785714285714286
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Comparison,57,36,0.631578947368421
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Contingency,58,21,0.3620689655172414
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Expansion,74,29,0.3918918918918919
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Temporal,57,19,0.3333333333333333
Gemma 4 31B,Greedy,greedy_t0,Behavioral,Any explicit,115,70,0.6086956521739131
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Comparison,54,28,0.5185185185185185
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Contingency,54,23,0.42592592592592593
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Expansion,75,36,0.48
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Temporal,55,49,0.8909090909090909
Gemma 4 31B,Greedy,greedy_t0,ClaimComparison,Any explicit,111,85,0.7657657657657657
Gemma 4 31B,Greedy,greedy_t0,Payoff,Comparison,23,9,0.391304347826087
Gemma 4 31B,Greedy,greedy_t0,Payoff,Contingency,39,30,0.7692307692307693
Gemma 4 31B,Greedy,greedy_t0,Payoff,Expansion,39,21,0.5384615384615384
Gemma 4 31B,Greedy,greedy_t0,Payoff,Temporal,19,3,0.15789473684210525
Gemma 4 31B,Greedy,greedy_t0,Payoff,Any explicit,53,44,0.8301886792452831
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Comparison,10,7,0.7
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Contingency,7,5,0.7142857142857143
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Expansion,10,5,0.5
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Temporal,8,1,0.125
Gemma 4 31B,Greedy,greedy_t0,Uncertainty,Any explicit,15,14,0.9333333333333333
