game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Erin,Erin,Erin,unanimous,1,Erin | Erin | Erin,Erin,True,1,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Dylan,Dylan,Dylan,unanimous,1,Dylan | Dylan | Dylan,Dylan,True,1,False
Youtube / One#Night#Ultimate#Werewolf#2#The#Drunk / Game1,Audrey,Audrey,Dylan,two_vs_one,2,Audrey | Audrey | Dylan,Audrey,True,2,False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Dylan,Dylan,unanimous,1,Dylan | Dylan | Dylan,Dylan,True,1,True
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,Pete,Pete,Pete,unanimous,1,Pete | Pete | Pete,Pete,True,1,True
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Pete,Kelsey,Kelsey,two_vs_one,2,Pete | Kelsey | Kelsey,Kelsey,True,2,False
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,No Werewolf,Dylan,Dustin,all_different,3,No Werewolf | Dylan | Dustin,,False,3,
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Brett,two_vs_one,2,Pete | Pete | Brett,Pete,True,2,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Pete,No Werewolf,Brett,all_different,3,Pete | No Werewolf | Brett,,False,3,
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Katie,Pete,Brett,all_different,3,Katie | Pete | Brett,,False,3,
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,False
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Shane,Shane,Shane,unanimous,1,Shane | Shane | Shane,Shane,True,1,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Justin,Mike,Justin,two_vs_one,2,Justin | Mike | Justin,Justin,True,2,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Justin,Mitchell,two_vs_one,2,Mitchell | Justin | Mitchell,Mitchell,True,2,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Mike,Mike,Eric,two_vs_one,2,Mike | Mike | Eric,Mike,True,2,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,Paul,Paul,two_vs_one,2,Mitchell | Paul | Paul,Paul,True,2,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Justin,Paul,Paul,two_vs_one,2,Justin | Paul | Paul,Paul,True,2,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Justin,Tyler,Justin,two_vs_one,2,Justin | Tyler | Justin,Justin,True,2,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Paul,James,Paul,two_vs_one,2,Paul | James | Paul,Paul,True,2,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,No Werewolf,Paul,Paul,two_vs_one,2,No Werewolf | Paul | Paul,Paul,True,2,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,James,Mitchell,James,two_vs_one,2,James | Mitchell | James,James,True,2,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Justin,Justin,Laura,two_vs_one,2,Justin | Justin | Laura,Justin,True,2,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,James,Mitchell,James,two_vs_one,2,James | Mitchell | James,James,True,2,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,Mike,Mike,Justin,two_vs_one,2,Mike | Mike | Justin,Mike,True,2,False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Mitchell,Mike,Mitchell,two_vs_one,2,Mitchell | Mike | Mitchell,Mitchell,True,2,False
