game_id,run_1,run_2,run_3,agreement_type,n_unique_votes,vote_pattern,stochastic_majority_vote,has_stochastic_majority,n_unique_stochastic_votes,stochastic_majority_correct
Ego4D / 0a6ef9dc-a2dc-452b-a907-d6fa2ed4cae0 / Game1,Hailey,Hailey,No Werewolf,two_vs_one,2,Hailey | Hailey | No Werewolf,Hailey,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game3,No Werewolf,Mitchell,Mitchell,two_vs_one,2,No Werewolf | Mitchell | Mitchell,Mitchell,True,2,False
Youtube / ONE#NIGHT#ULTIMATE#WEREWOLF#9##November#6th#2016 / Game4,No Werewolf,No Werewolf,Alana,two_vs_one,2,No Werewolf | No Werewolf | Alana,No Werewolf,True,2,False
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game2,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game3,Tyler,Justin,Tyler,two_vs_one,2,Tyler | Justin | Tyler,Tyler,True,2,True
Youtube / One#Night#Ultimate#Love#Letter##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Paul,Justin,Paul,two_vs_one,2,Paul | Justin | Paul,Paul,True,2,False
Youtube / One#Night#Ultimate#Werewolf#1#How-To#and#Playthrough / Game1,Brett,Audrey,Brett,two_vs_one,2,Brett | Audrey | Brett,Brett,True,2,False
Youtube / One#Night#Ultimate#Werewolf#3#Insomniac / Game1,Brett,Brett,Brett,unanimous,1,Brett | Brett | Brett,Brett,True,1,True
Youtube / One#Night#Ultimate#Werewolf#361#Classic#Werewolf / Game1,Dylan,Kelsey,No Werewolf,all_different,3,Dylan | Kelsey | No Werewolf,,False,3,
Youtube / One#Night#Ultimate#Werewolf#362#More#Classic#Werewolf / Game1,No Werewolf,Kelsey,Kelsey,two_vs_one,2,No Werewolf | Kelsey | Kelsey,Kelsey,True,2,False
Youtube / One#Night#Ultimate#Werewolf#363#Even#More#Classic#Werewolf / Game1,Kelsey,Pete,Katie,all_different,3,Kelsey | Pete | Katie,,False,3,
Youtube / One#Night#Ultimate#Werewolf#381#The#Hunt#Is#On / Game1,Dustin,Dustin,Dustin,unanimous,1,Dustin | Dustin | Dustin,Dustin,True,1,False
Youtube / One#Night#Ultimate#Werewolf#382#Game#100!! / Game1,Dylan,Dylan,Dylan,unanimous,1,Dylan | Dylan | Dylan,Dylan,True,1,False
Youtube / One#Night#Ultimate#Werewolf#491#Classic#Werewolf / Game1,Pete,Pete,Pete,unanimous,1,Pete | Pete | Pete,Pete,True,1,False
Youtube / One#Night#Ultimate#Werewolf#492#More#Classic#Werewolf / Game1,Pete,No Werewolf,Pete,two_vs_one,2,Pete | No Werewolf | Pete,Pete,True,2,False
Youtube / One#Night#Ultimate#Werewolf#493#Even#More#Classic#Werewolf / Game1,Pete,Katie,No Werewolf,all_different,3,Pete | Katie | No Werewolf,,False,3,
Youtube / One#Night#Ultimate#Werewolf#531#Classic#ONUW / Game1,No Werewolf,Brett,Brett,two_vs_one,2,No Werewolf | Brett | Brett,Brett,True,2,False
Youtube / One#Night#Ultimate#Werewolf#532#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,True
Youtube / One#Night#Ultimate#Werewolf#533#Even#More#Classic#ONUW / Game1,DeAndre,DeAndre,DeAndre,unanimous,1,DeAndre | DeAndre | DeAndre,DeAndre,True,1,False
Youtube / One#Night#Ultimate#Werewolf#GAME#NIGHT!! / Game2,Shane,Shane,Shane,unanimous,1,Shane | Shane | Shane,Shane,True,1,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game1,Paul,Paul,Mike,two_vs_one,2,Paul | Paul | Mike,Paul,True,2,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,True
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game3,Mitchell,Mitchell,Mitchell,unanimous,1,Mitchell | Mitchell | Mitchell,Mitchell,True,1,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game4,Paul,Paul,No Werewolf,two_vs_one,2,Paul | Paul | No Werewolf,Paul,True,2,False
Youtube / Retrovision##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#7 / Game5,Eric,Eric,Eric,unanimous,1,Eric | Eric | Eric,Eric,True,1,False
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game5,Mitchell,No Werewolf,Mitchell,two_vs_one,2,Mitchell | No Werewolf | Mitchell,Mitchell,True,2,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game6,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / The#Return#of#the#King##ONE#NIGHT#ULTIMATE#WEREWOLF / Game7,Tyler,James,Tyler,two_vs_one,2,Tyler | James | Tyler,Tyler,True,2,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game1,Justin,Justin,No Werewolf,two_vs_one,2,Justin | Justin | No Werewolf,Justin,True,2,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game2,No Werewolf,No Werewolf,No Werewolf,unanimous,1,No Werewolf | No Werewolf | No Werewolf,No Werewolf,True,1,False
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game3,Laura,Laura,No Werewolf,two_vs_one,2,Laura | Laura | No Werewolf,Laura,True,2,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game4,Paul,Paul,Paul,unanimous,1,Paul | Paul | Paul,Paul,True,1,True
Youtube / Visions#from#2016##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#11 / Game5,Mitchell,No Werewolf,No Werewolf,two_vs_one,2,Mitchell | No Werewolf | No Werewolf,No Werewolf,True,2,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game2,Mitchell,James,James,two_vs_one,2,Mitchell | James | James,James,True,2,False
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game3,No Werewolf,Laura,Laura,two_vs_one,2,No Werewolf | Laura | Laura,Laura,True,2,True
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game4,James,Laura,No Werewolf,all_different,3,James | Laura | No Werewolf,,False,3,
Youtube / Way#Way#Back##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#10 / Game5,Laura,Laura,Laura,unanimous,1,Laura | Laura | Laura,Laura,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game1,Justin,Justin,Justin,unanimous,1,Justin | Justin | Justin,Justin,True,1,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game2,Mike,Mike,Mike,unanimous,1,Mike | Mike | Mike,Mike,True,1,False
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game3,Paul,Paul,No Werewolf,two_vs_one,2,Paul | Paul | No Werewolf,Paul,True,2,True
Youtube / Ye#Olde#Times##ONE#NIGHT#ULTIMATE#WEREWOLF##Retro#8 / Game4,Mitchell,Eric,Justin,all_different,3,Mitchell | Eric | Justin,,False,3,
